SPDP;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank
SP;鏡花水月楼 (DDR EDITION);difficult;Lv;0;NONE;Noplay;0;NONE
SP;鏡花水月楼 (DDR EDITION);expert;Lv;962820;AA+;Life4;0;NONE
SP;狂水一華;beginner;Lv;0;NONE;Noplay;0;NONE
SP;狂水一華;basic;Lv;0;NONE;Noplay;0;NONE
SP;狂水一華;difficult;Lv;0;NONE;Noplay;0;NONE
SP;狂水一華;expert;Lv;994180;AAA;GFC;960;EX
SP;共犯ヘヴンズコード;beginner;Lv;0;NONE;Noplay;0;NONE
SP;共犯ヘヴンズコード;basic;Lv;0;NONE;Noplay;0;NONE
SP;共犯ヘヴンズコード;difficult;Lv;0;NONE;Noplay;0;NONE
SP;共犯ヘヴンズコード;expert;Lv;0;NONE;Noplay;0;NONE
SP;強風オールバック;beginner;Lv;0;NONE;Noplay;0;NONE
SP;強風オールバック;basic;Lv;0;NONE;Noplay;0;NONE
SP;強風オールバック;difficult;Lv;0;NONE;Noplay;0;NONE
SP;強風オールバック;expert;Lv;982500;AA+;GFC;785;9
SP;極地大衝撃;expert;Lv;852900;E;Noplay;0;NONE
SP;きらきら☆ユニバース;beginner;Lv;0;NONE;Noplay;0;NONE
SP;きらきら☆ユニバース;basic;Lv;0;NONE;Noplay;0;NONE
SP;きらきら☆ユニバース;difficult;Lv;0;NONE;Noplay;0;NONE
SP;きらきら☆ユニバース;expert;Lv;996100;AAA;GFC;960;EX
SP;倉野川音頭;beginner;Lv;0;NONE;Noplay;0;NONE
SP;倉野川音頭;basic;Lv;0;NONE;Noplay;0;NONE
SP;倉野川音頭;difficult;Lv;0;NONE;Noplay;0;NONE
SP;倉野川音頭;expert;Lv;994520;AAA;GFC;744;EX
SP;クリムゾンゲイト;beginner;Lv;0;NONE;Noplay;0;NONE
SP;クリムゾンゲイト;basic;Lv;0;NONE;Noplay;0;NONE
SP;クリムゾンゲイト;difficult;Lv;0;NONE;Noplay;0;NONE
SP;クリムゾンゲイト;expert;Lv;0;NONE;Noplay;0;NONE
SP;黒髪乱れし修羅となりて～凛 edition～;beginner;Lv;0;NONE;Noplay;0;NONE
SP;黒髪乱れし修羅となりて～凛 edition～;basic;Lv;949960;AA;Clear;0;NONE
SP;黒髪乱れし修羅となりて～凛 edition～;difficult;Lv;820040;A;Clear;0;NONE
SP;黒髪乱れし修羅となりて～凛 edition～;expert;Lv;997050;AAA;GFC;920;EX
