SPDP;Version;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank;Notes
SP;1;e-motion;expert;8;996620;AAA;GFC;0;NONE;133/0
SP;1;GENOM SCREAMS;beginner;3;0;NONE;Noplay;0;NONE;84/0
SP;1;GENOM SCREAMS;basic;7;0;NONE;Noplay;0;NONE;169/0
SP;1;GENOM SCREAMS;difficult;8;0;NONE;Noplay;0;NONE;205/0
SP;1;GENOM SCREAMS;expert;11;975750;AA+;GFC;0;NONE;238/0
SP;1;KEEP ON MOVIN';beginner;4;999940;AAA;PFC;0;NONE;51/0
SP;1;KEEP ON MOVIN';basic;5;0;NONE;Noplay;0;NONE;110/0
SP;1;KEEP ON MOVIN';difficult;7;0;NONE;Noplay;0;NONE;140/0
SP;1;KEEP ON MOVIN';expert;9;997540;AAA;GFC;536;EX;183/0
SP;1;MAKE IT BETTER (So-REAL Mix);beginner;2;0;NONE;Noplay;0;NONE;90/0
SP;1;MAKE IT BETTER (So-REAL Mix);basic;7;0;NONE;Noplay;0;NONE;159/0
SP;1;MAKE IT BETTER (So-REAL Mix);difficult;8;0;NONE;Noplay;0;NONE;191/0
SP;1;MAKE IT BETTER (So-REAL Mix);expert;10;984120;AA+;GFC;0;NONE;208/0
SP;1;MAKE IT BETTER (So-REAL Mix);challenge;12;0;NONE;Noplay;0;NONE;237/10(29)
SP;1;PARANOiA KCET ～clean mix～;beginner;4;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA KCET ～clean mix～;basic;8;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA KCET ～clean mix～;difficult;9;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA KCET ～clean mix～;expert;11;982600;AA+;Clear;0;NONE;
SP;1;PARANOiA KCET ～clean mix～;challenge;15;995290;AAA;GFC;960;EX;
SP;1;PARANOiA MAX～DIRTY MIX～;beginner;5;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA MAX～DIRTY MIX～;basic;9;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA MAX～DIRTY MIX～;difficult;10;0;NONE;Noplay;0;NONE;
SP;1;PARANOiA MAX～DIRTY MIX～;expert;12;955760;AA+;Clear;0;NONE;
SP;1;PUT YOUR FAITH IN ME;beginner;3;0;NONE;Noplay;0;NONE;70/0
SP;1;PUT YOUR FAITH IN ME;basic;5;0;NONE;Noplay;0;NONE;128/0
SP;1;PUT YOUR FAITH IN ME;difficult;6;0;NONE;Noplay;0;NONE;145/0
SP;1;PUT YOUR FAITH IN ME;expert;9;997730;AAA;GFC;536;EX;203/0
